"ICM_CITY_CD","ICM_CITY_DESC","ISM_STATE_CD","ISM_STATE_DESC"
"KOHIMA","KOHIMA","NAGALAND","NAGALAND"
"MORIGAON","MORIGAON","ASSAM","ASSAM"
"BATHINDA","BATHINDA","PUNJAB","PUNJAB"
"KAMRUP","KAMRUP","ASSAM","ASSAM"
"SHAMSHABAD","SHAMSHABAD","MADHYA PRADESH","MADHYA PRADESH"
"AROOR","AROOR","KERALA","KERALA"
"ERATTUPETTA","ERATTUPETTA","KERALA","KERALA"
"HANAMKONDA","HANAMKONDA","TELANGANA","TELANGANA"
"KAILASHAHAR","KAILASHAHAR","TRIPURA","TRIPURA"
"SANKARANKOIL","SANKARANKOIL","TAMILNADU","TAMILNADU"
"CHAKAN","CHAKAN","MAHARASHTRA","MAHARASHTRA"
"MUKERIAN","MUKERIAN","PUNJAB","PUNJAB"
"ANANTHAPURAM_TAM","ANANTHAPURAM","TAMILNADU","TAMILNADU"
"JASHPUR_CHH","JASHPUR","CHHATTISGARH","CHHATTISGARH"
"KANJIRAPPALLY_KER","KANJIRAPPALLY","KERALA","KERALA"
"BARDOL","BARDOL","ODISHA","ODISHA"
"TARAPUR","TARAPUR","GUJARAT","GUJARAT"
"ADAPUR","ADAPUR","BIHAR","BIHAR"
"AIRA ESTATE","AIRA ESTATE","UTTAR PRADESH","UTTAR PRADESH"
"ASHOK NAGAR","ASHOK NAGAR","MADHYA PRADESH","MADHYA PRADESH"
"AMARPUR","AMARPUR","BIHAR","BIHAR"
"AMLAI COLLIERY","AMLAI COLLIERY","MADHYA PRADESH","MADHYA PRADESH"
"ANJANGAON","ANJANGAON","MAHARASHTRA","MAHARASHTRA"
"ANUSHAKTI","ANUSHAKTI","RAJASTHAN","RAJASTHAN"
"AREMALLAPUR","AREMALLAPUR","KARNATAKA","KARNATAKA"
"ARUNACHAL","ARUNACHAL","ASSAM","ASSAM"
"MADHUPUR","MADHUPUR","JHARKHAND","JHARKHAND"
"THIRUVANANTHAPURAM","THIRUVANANTHAPURAM","KERALA","KERALA"
"SUNDARGARH","SUNDARGARH","ODISHA","ODISHA"
"COORG","COORG","KARNATAKA","KARNATAKA"
"NAMRUP","NAMRUP","ASSAM","ASSAM"
"KHALILABAD","KHALILABAD","UTTAR PRADESH","UTTAR PRADESH"
"BELUR","BELUR","KARNATAKA","KARNATAKA"
"NUAPADA","NUAPADA","ODISHA","ODISHA"
"KODUGU","KODUGU","KARNATAKA","KARNATAKA"
"KUKATPALLY","KUKATPALLY","ANDHRA PRADESH","ANDHRA PRADESH"
"MOUNT ABU","MOUNT ABU","RAJASTHAN","RAJASTHAN"
"NARAYANPET","NARAYANPET","TELANGANA","TELANGANA"
"HAZURABAD","HAZURABAD","ANDHRA PRADESH","ANDHRA PRADESH"
"THOUBAL","THOUBAL","MANIPUR","MANIPUR"
"SOUTH SIKKIM","SOUTH SIKKIM","SIKKIM","SIKKIM"
"KISHANGARH","KISHANGARH","RAJASTHAN","RAJASTHAN"
"AURANGABAD_MAH","AURANGABAD","MAHARASHTRA","MAHARASHTRA"
"CHENGANNUR","CHENGANNUR","KERALA","KERALA"
"MACHILIPATNAM","MACHILIPATNAM","ANDHRA PRADESH","ANDHRA PRADESH"
"VANIYAMBADI","VANIYAMBADI","TAMILNADU","TAMILNADU"
"DIBANG VALLEY","DIBANG VALLEY","ARUNACHAL PRADESH","ARUNACHAL PRADESH"
"KODUR","KODUR","ANDHRA PRADESH","ANDHRA PRADESH"
"BHABHAR","BHABHAR","GUJARAT","GUJARAT"
"MURADNAGAR","MURADNAGAR","UTTAR PRADESH","UTTAR PRADESH"
"BADDI","BADDI","HIMACHAL PRADESH","HIMACHAL PRADESH"
"DIGRAS","DIGRAS","MAHARASHTRA","MAHARASHTRA"
"PONNERI","PONNERI","TAMILNADU","TAMILNADU"
"JASPUR_UTT","JASPUR","UTTARAKHAND","UTTARAKHAND"
"KUNNAMKULAM","KUNNAMKULAM","KERALA","KERALA"
"KARNAL","KARNAL","HARYANA","HARYANA"
"KARUNAGAPALLY","KARUNAGAPALLY","KERALA","KERALA"
"KOTA","KOTA","RAJASTHAN","RAJASTHAN"
"KANCHIPURAM","KANCHIPURAM","TAMILNADU","TAMILNADU"
"KALPETTA","KALPETTA","KERALA","KERALA"
"KAIRA","KAIRA","GUJARAT","GUJARAT"
"KARUR","KARUR","TAMILNADU","TAMILNADU"
"KOTTAYAM","KOTTAYAM","KERALA","KERALA"
"KUTTIPPURAM","KUTTIPPURAM","KERALA","KERALA"
"KOZHENCHERRY","KOZHENCHERRY","KERALA","KERALA"
"LUDHIANA","LUDHIANA","PUNJAB","PUNJAB"
"LONAVALA","LONAVALA","MAHARASHTRA","MAHARASHTRA"
"LUCKNOW","LUCKNOW","UTTAR PRADESH","UTTAR PRADESH"
"MANDI GOBINDGARH","MANDI GOBINDGARH","PUNJAB","PUNJAB"
"DHAVALESHWAR","DHAVALESHWAR","KARNATAKA","KARNATAKA"
"MANDI","MANDI","HIMACHAL PRADESH","HIMACHAL PRADESH"
"MALAPURAM","MALAPURAM","KERALA","KERALA"
"TIRUVANNAMALAI","TIRUVANNAMALAI","TAMILNADU","TAMILNADU"
"MUNNAR","MUNNAR","KERALA","KERALA"
"CUDDALORE","CUDDALORE","TAMILNADU","TAMILNADU"
"AMRELI","AMRELI","GUJARAT","GUJARAT"
"MANDYA","MANDYA","KARNATAKA","KARNATAKA"
"MAPUCA","MAPUCA","GOA","GOA"
"MARGAO","MARGAO","GOA","GOA"
"MATHURA","MATHURA","UTTAR PRADESH","UTTAR PRADESH"
"MORADABAD","MORADABAD","UTTAR PRADESH","UTTAR PRADESH"
"MADHUBANI","MADHUBANI","BIHAR","BIHAR"
"CHENNAI","CHENNAI","TAMILNADU","TAMILNADU"
"MADURAI","MADURAI","TAMILNADU","TAMILNADU"
"MEHSANA","MEHSANA","GUJARAT","GUJARAT"
"MIDNAPUR","MIDNAPUR","WEST BENGAL","WEST BENGAL"
"MANGALORE","MANGALORE","KARNATAKA","KARNATAKA"
"MUVATTUPUZHA","MUVATTUPUZHA","KERALA","KERALA"
"MUSSOORIE","MUSSOORIE","UTTARAKHAND","UTTARAKHAND"
"MAVELIKARA","MAVELIKARA","KERALA","KERALA"
"MUZAFFAR NAGAR","MUZAFFAR NAGAR","UTTAR PRADESH","UTTAR PRADESH"
"NAGDA","NAGDA","MADHYA PRADESH","MADHYA PRADESH"
"NARNAUL","NARNAUL","HARYANA","HARYANA"
"NABHA","NABHA","PUNJAB","PUNJAB"
"NILAMBUR","NILAMBUR","KERALA","KERALA"
"NAMAKKAL","NAMAKKAL","TAMILNADU","TAMILNADU"
"SRIKAKULAM","SRIKAKULAM","ANDHRA PRADESH","ANDHRA PRADESH"
"RAMGARH","RAMGARH","JHARKHAND","JHARKHAND"
"BATALA","BATALA","PUNJAB","PUNJAB"
"JALPAIGURI","JALPAIGURI","WEST BENGAL","WEST BENGAL"
"JODHPUR","JODHPUR","RAJASTHAN","RAJASTHAN"
"NEDUMANGAD","NEDUMANGAD","KERALA","KERALA"
"NIPANI","NIPANI","KARNATAKA","KARNATAKA"
"NELLAYI","NELLAYI","KERALA","KERALA"
"NELLORE","NELLORE","ANDHRA PRADESH","ANDHRA PRADESH"
"NOWGONG","NOWGONG","MADHYA PRADESH","MADHYA PRADESH"
"NAGPUR","NAGPUR","MAHARASHTRA","MAHARASHTRA"
"NAVSARI","NAVSARI","GUJARAT","GUJARAT"
"KARAIKAL","KARAIKAL","PONDICHERRY","PONDICHERRY"
"VISNAGAR","VISNAGAR","GUJARAT","GUJARAT"
"SUJANGARH","SUJANGARH","RAJASTHAN","RAJASTHAN"
"MADHEPURA","MADHEPURA","BIHAR","BIHAR"
"ANDAMAN","ANDAMAN","ANDAMAN AND NICOBAR","ANDAMAN AND NICOBAR"
"THAMALLAKKAL","THAMALLAKKAL","KERALA","KERALA"
"THANGADH","THANGADH","GUJARAT","GUJARAT"
"THAPOVANAM","THAPOVANAM","TAMILNADU","TAMILNADU"
"THAYILPATTI","THAYILPATTI","TAMILNADU","TAMILNADU"
"THURUTHICAD","THURUTHICAD","KERALA","KERALA"
"TIRULDIH","TIRULDIH","JHARKHAND","JHARKHAND"
"TOPA","TOPA","JHARKHAND","JHARKHAND"
"TOPOSI","TOPOSI","WEST BENGAL","WEST BENGAL"
"TRAL","TRAL","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"TRIMOHINI","TRIMOHINI","WEST BENGAL","WEST BENGAL"
"TULIN","TULIN","WEST BENGAL","WEST BENGAL"
"TUMSAR","TUMSAR","MAHARASHTRA","MAHARASHTRA"
"TURUMUNGA","TURUMUNGA","ODISHA","ODISHA"
"TUSRA","TUSRA","ODISHA","ODISHA"
"UDAYARPALAYAM","UDAYARPALAYAM","TAMILNADU","TAMILNADU"
"UGARBUDRUK","UGARBUDRUK","KARNATAKA","KARNATAKA"
"UGARKHURD","UGARKHURD","KARNATAKA","KARNATAKA"
"UNDI","UNDI","ANDHRA PRADESH","ANDHRA PRADESH"
"UTRAULA","UTRAULA","UTTAR PRADESH","UTTAR PRADESH"
"UTTAR RAIPUR","UTTAR RAIPUR","WEST BENGAL","WEST BENGAL"
"VADADLA","VADADLA","GUJARAT","GUJARAT"
"VADTAL","VADTAL","GUJARAT","GUJARAT"
"VALLABHNAGAR","VALLABHNAGAR","RAJASTHAN","RAJASTHAN"
"VALLAMPADUGAI","VALLAMPADUGAI","TAMILNADU","TAMILNADU"
"VANGOOR","VANGOOR","ANDHRA PRADESH","ANDHRA PRADESH"
"VARANAM","VARANAM","KERALA","KERALA"
"VASO","VASO","GUJARAT","GUJARAT"
"VAYALPAD","VAYALPAD","ANDHRA PRADESH","ANDHRA PRADESH"
"VEDANTHANGAL","VEDANTHANGAL","TAMILNADU","TAMILNADU"
"VELIYAM","VELIYAM","KERALA","KERALA"
"VELLAMADAM","VELLAMADAM","TAMILNADU","TAMILNADU"
"VENGURLA","VENGURLA","MAHARASHTRA","MAHARASHTRA"
"VENMONY","VENMONY","KERALA","KERALA"
"VENNANDUR","VENNANDUR","TAMILNADU","TAMILNADU"
"VETTAVALAM","VETTAVALAM","TAMILNADU","TAMILNADU"
"VIJAYAPURA","VIJAYAPURA","KARNATAKA","KARNATAKA"
"VIKRAMPUR","VIKRAMPUR","ODISHA","ODISHA"
"VILLUKURI","VILLUKURI","TAMILNADU","TAMILNADU"
"VIRALIMALAI","VIRALIMALAI","TAMILNADU","TAMILNADU"
"VIRBHADRA","VIRBHADRA","UTTARAKHAND","UTTARAKHAND"
"VISAVADAR","VISAVADAR","GUJARAT","GUJARAT"
"VITHON","VITHON","GUJARAT","GUJARAT"
"VITTAL","VITTAL","KARNATAKA","KARNATAKA"
"MANKADA","MANKADA","KERALA","KERALA"
"DEHRI-ON SONE","DEHRI ON SONE","BIHAR","BIHAR"
"NEEMUCH","NEEMUCH","MADHYA PRADESH","MADHYA PRADESH"
"MERCES","MERCES","GOA","GOA"
"DUBURI","DUBURI","ODISHA","ODISHA"
"SIMDEGA","SIMDEGA","JHARKHAND","JHARKHAND"
"PENNADAM","PENNADAM","TAMILNADU","TAMILNADU"
"AKBARPUR","AKBARPUR","UTTAR PRADESH","UTTAR PRADESH"
"NARAYANA PURAM","NARAYANA PURAM","ANDHRA PRADESH","ANDHRA PRADESH"
"JAINTIA HILLS","JAINTIA HILLS","MEGHALAYA","MEGHALAYA"
"GAJWEL","GAJWEL","TELANGANA","TELANGANA"
"JHARGRAM","JHARGRAM","WEST BENGAL","WEST BENGAL"
"AVALURPET","AVALURPET","TAMILNADU","TAMILNADU"
"BACHRA","BACHRA","JHARKHAND","JHARKHAND"
"BAHADURGANJ","BAHADURGANJ","BIHAR","BIHAR"
"BAKEWAR","BAKEWAR","UTTAR PRADESH","UTTAR PRADESH"
"BALDWARA","BALDWARA","HIMACHAL PRADESH","HIMACHAL PRADESH"
"BALKUNJE","BALKUNJE","KARNATAKA","KARNATAKA"
"BANDA BELAI","BANDA BELAI","MADHYA PRADESH","MADHYA PRADESH"
"BANKODA","BANKODA","RAJASTHAN","RAJASTHAN"
"BARHI","BARHI","JHARKHAND","JHARKHAND"
"BAUNSI","BAUNSI","BIHAR","BIHAR"
"PIMPRI","PIMPRI","MAHARASHTRA","MAHARASHTRA"
"BENGABAD","BENGABAD","JHARKHAND","JHARKHAND"
"BETUL BAZAR","BETUL BAZAR","MADHYA PRADESH","MADHYA PRADESH"
"BIMANGARH","BIMANGARH","TRIPURA","TRIPURA"
"BORIAVI","BORIAVI","GUJARAT","GUJARAT"
"BUTTAYAGUDEM","BUTTAYAGUDEM","ANDHRA PRADESH","ANDHRA PRADESH"
"CHALALA","CHALALA","GUJARAT","GUJARAT"
"CHANDALUR","CHANDALUR","ANDHRA PRADESH","ANDHRA PRADESH"
"CHARALI","CHARALI","ASSAM","ASSAM"
"CHIKKERUR","CHIKKERUR","KARNATAKA","KARNATAKA"
"CHOPADA","CHOPADA","MAHARASHTRA","MAHARASHTRA"
"CLAPPANA","CLAPPANA","KERALA","KERALA"
"DALDALA","DALDALA","UTTAR PRADESH","UTTAR PRADESH"
"KARAIKUDI","KARAIKUDI","TAMILNADU","TAMILNADU"
"BAZPUR_UTT","BAZPUR","UTTARAKHAND","UTTARAKHAND"
"DEULBERA COLLIERY","DEULBERA COLLIERY","ODISHA","ODISHA"
"DHANK","DHANK","GUJARAT","GUJARAT"
"DUBRA","DUBRA","WEST BENGAL","WEST BENGAL"
"ELACHIPALAYAM","ELACHIPALAYAM","TAMILNADU","TAMILNADU"
"FERTILIZER CITY","FERTILIZER CITY","ANDHRA PRADESH","ANDHRA PRADESH"
"GUMMIDIPOONDI","GUMMIDIPOONDI","TAMILNADU","TAMILNADU"
"SHIVPURI","SHIVPURI","MADHYA PRADESH","MADHYA PRADESH"
"GUMLA","GUMLA","JHARKHAND","JHARKHAND"
"MANER","MANER","BIHAR","BIHAR"
"SAGAR","SAGAR","MADHYA PRADESH","MADHYA PRADESH"
"HALDIBADI","HALDIBADI","CHHATTISGARH","CHHATTISGARH"
"PALABHAVI","PALABHAVI","KARNATAKA","KARNATAKA"
"SIVAGIRI","SIVAGIRI","TAMILNADU","TAMILNADU"
"MIDNAPORE","MIDNAPORE","WEST BENGAL","WEST BENGAL"
"KASGANJ","KASGANJ","UTTAR PRADESH","UTTAR PRADESH"
"GOBICHETTIPALAYAM","GOBICHETTIPALAYAM","TAMILNADU","TAMILNADU"
"MANHALLI","MANHALLI","KARNATAKA","KARNATAKA"
"EAST KAMENG","EAST KAMENG","ARUNACHAL PRADESH","ARUNACHAL PRADESH"
"CAR NICOBAR","CAR NICOBAR","ANDAMAN AND NICOBAR","ANDAMAN AND NICOBAR"
"ACHANTA","ACHANTA","ANDHRA PRADESH","ANDHRA PRADESH"
"ADDANKI","ADDANKI","ANDHRA PRADESH","ANDHRA PRADESH"
"AMALAPURAM","AMALAPURAM","ANDHRA PRADESH","ANDHRA PRADESH"
"PALANPUR","PALANPUR","GUJARAT","GUJARAT"
"PALI","PALI","RAJASTHAN","RAJASTHAN"
"PANCHKULA","PANCHKULA","HARYANA","HARYANA"
"PANVEL","PANVEL","MAHARASHTRA","MAHARASHTRA"
"PATIALA","PATIALA","PUNJAB","PUNJAB"
"PORBANDAR","PORBANDAR","GUJARAT","GUJARAT"
"PONDICHERRY","PONDICHERRY","PONDICHERRY","PONDICHERRY"
"PARADEEP","PARADEEP","ODISHA","ODISHA"
"PATALGANGA","PATALGANGA","MAHARASHTRA","MAHARASHTRA"
"PITHORA GARH","PITHORA GARH","UTTARAKHAND","UTTARAKHAND"
"GANGAVATI","GANGAVATI","KARNATAKA","KARNATAKA"
"PHAGWARA","PHAGWARA","PUNJAB","PUNJAB"
"PILIBHIT","PILIBHIT","UTTAR PRADESH","UTTAR PRADESH"
"PANAJI","PANAJI","GOA","GOA"
"PALAI","PALAI","KERALA","KERALA"
"PILANI","PILANI","RAJASTHAN","RAJASTHAN"
"PUNALUR","PUNALUR","KERALA","KERALA"
"PAYYANNUR","PAYYANNUR","KERALA","KERALA"
"PANIPAT","PANIPAT","HARYANA","HARYANA"
"PERUMBAVOOR","PERUMBAVOOR","KERALA","KERALA"
"MANDLA","MANDLA","MADHYA PRADESH","MADHYA PRADESH"
"PATNA","PATNA","BIHAR","BIHAR"
"PUNE","PUNE","MAHARASHTRA","MAHARASHTRA"
"PURULIA","PURULIA","WEST BENGAL","WEST BENGAL"
"PIRAVOM","PIRAVOM","KERALA","KERALA"
"PALWAL","PALWAL","HARYANA","HARYANA"
"QUILON","QUILON","KERALA","KERALA"
"CHHINDWARA","CHHINDWARA","MADHYA PRADESH","MADHYA PRADESH"
"RANIGANJ","RANIGANJ","WEST BENGAL","WEST BENGAL"
"RATLAM","RATLAM","MADHYA PRADESH","MADHYA PRADESH"
"RAE BARELI","RAE BARELI","UTTAR PRADESH","UTTAR PRADESH"
"RAICHUR","RAICHUR","KARNATAKA","KARNATAKA"
"RAMAGUNDAM","RAMAGUNDAM","ANDHRA PRADESH","ANDHRA PRADESH"
"RATNAGIRI","RATNAGIRI","MAHARASHTRA","MAHARASHTRA"
"RAJKOT","RAJKOT","GUJARAT","GUJARAT"
"RAJPURA","RAJPURA","PUNJAB","PUNJAB"
"ROORKEE","ROORKEE","UTTARAKHAND","UTTARAKHAND"
"RAMANATHAPURA","RAMANATHAPURA","KARNATAKA","KARNATAKA"
"ROPAR","ROPAR","PUNJAB","PUNJAB"
"GOKARN","GOKARN","KARNATAKA","KARNATAKA"
"RAIPUR","RAIPUR","CHHATTISGARH","CHHATTISGARH"
"RANIPET","RANIPET","TAMILNADU","TAMILNADU"
"ROHTAK","ROHTAK","HARYANA","HARYANA"
"SANGRUR","SANGRUR","PUNJAB","PUNJAB"
"SAHIBABAD","SAHIBABAD","UTTAR PRADESH","UTTAR PRADESH"
"SECUNDERABAD","SECUNDERABAD","TELANGANA","TELANGANA"
"SHAHJAHANPUR","SHAHJAHANPUR","UTTAR PRADESH","UTTAR PRADESH"
"JASPUR","JASPUR","UTTAR PRADESH","UTTAR PRADESH"
"ALAND","ALAND","KARNATAKA","KARNATAKA"
"ARAKKONAM","ARAKKONAM","TAMILNADU","TAMILNADU"
"SHIMLA","SHIMLA","HIMACHAL PRADESH","HIMACHAL PRADESH"
"SHILLONG","SHILLONG","MEGHALAYA","MEGHALAYA"
"SHIMOGA","SHIMOGA","KARNATAKA","KARNATAKA"
"SIKAR","SIKAR","RAJASTHAN","RAJASTHAN"
"SIMLA","SIMLA","HIMACHAL PRADESH","HIMACHAL PRADESH"
"SIVAKASI","SIVAKASI","TAMILNADU","TAMILNADU"
"SALEM","SALEM","TAMILNADU","TAMILNADU"
"ALAPPUZHA","ALAPPUZHA","KERALA","KERALA"
"KARAPAKKAM","KARAPAKKAM","TAMILNADU","TAMILNADU"
"NARAYANPUR","NARAYANPUR","CHHATTISGARH","CHHATTISGARH"
"GANJAM","GANJAM","ODISHA","ODISHA"
"GURUMUTKAL","GURUMUTKAL","KARNATAKA","KARNATAKA"
"KUNDAPURA","KUNDAPURA","KARNATAKA","KARNATAKA"
"KHOPOLI","KHOPOLI","MAHARASHTRA","MAHARASHTRA"
"JAHANABAD","JAHANABAD","BIHAR","BIHAR"
"W G DIST","W G DIST","ANDHRA PRADESH","ANDHRA PRADESH"
"CHIVATGUNDI","CHIVATGUNDI","KARNATAKA","KARNATAKA"
"NANDANAM","NANDANAM","TAMILNADU","TAMILNADU"
"WAGHAI","WAGHAI","GUJARAT","GUJARAT"
"WAIDHAN","WAIDHAN","MADHYA PRADESH","MADHYA PRADESH"
"WALGAON","WALGAON","MAHARASHTRA","MAHARASHTRA"
"WYRA","WYRA","ANDHRA PRADESH","ANDHRA PRADESH"
"YEDSHI","YEDSHI","MAHARASHTRA","MAHARASHTRA"
"YELDARI","YELDARI","MAHARASHTRA","MAHARASHTRA"
"YENEGUR","YENEGUR","MAHARASHTRA","MAHARASHTRA"
"YERCAUD","YERCAUD","TAMILNADU","TAMILNADU"
"YERRUPALEM","YERRUPALEM","ANDHRA PRADESH","ANDHRA PRADESH"
"ZAKHAMA","ZAKHAMA","NAGALAND","NAGALAND"
"KORBA","KORBA","CHHATTISGARH","CHHATTISGARH"
"SENAPATI","SENAPATI","MANIPUR","MANIPUR"
"BISHNUPUR","BISHNUPUR","MANIPUR","MANIPUR"
"MAHENDRAGARH","MAHENDRAGARH","HARYANA","HARYANA"
"RI BHOI","RI BHOI","MEGHALAYA","MEGHALAYA"
"CACHAR","CACHAR","ASSAM","ASSAM"
"ANUPURAM","ANUPURAM","TAMILNADU","TAMILNADU"
"NORTH ARCOT","NORTH ARCOT","TAMILNADU","TAMILNADU"
"NARANPUR","NARANPUR","ODISHA","ODISHA"
"NAGBHIR","NAGBHIR","MAHARASHTRA","MAHARASHTRA"
"NAGRAKATA","NAGRAKATA","WEST BENGAL","WEST BENGAL"
"MALKAPUR","MALKAPUR","MAHARASHTRA","MAHARASHTRA"
"KOTPAD","KOTPAD","ODISHA","ODISHA"
"LALGANJ","LALGANJ","BIHAR","BIHAR"
"KEDAR","KEDAR","TAMILNADU","TAMILNADU"
"SARANGADA","SARANGADA","ODISHA","ODISHA"
"MURLIGANJ","MURLIGANJ","BIHAR","BIHAR"
"THUCKALAY","THUCKALAY","TAMILNADU","TAMILNADU"
"NORTH LAKHIMPUR","NORTH LAKHIMPUR","ASSAM","ASSAM"
"CHIKODI","CHIKODI","KARNATAKA","KARNATAKA"
"KHAMBHALIA","KHAMBHALIA","GUJARAT","GUJARAT"
"NARSANDA","NARSANDA","GUJARAT","GUJARAT"
"NEWAI","NEWAI","RAJASTHAN","RAJASTHAN"
"NIMINA","NIMINA","ODISHA","ODISHA"
"RANIWARA","RANIWARA","RAJASTHAN","RAJASTHAN"
"PANAMARAM","PANAMARAM","KERALA","KERALA"
"AMBASAMUDRAM","AMBASAMUDRAM","TAMILNADU","TAMILNADU"
"TAPESWARAM","TAPESWARAM","ANDHRA PRADESH","ANDHRA PRADESH"
"BALOTRA","BALOTRA","RAJASTHAN","RAJASTHAN"
"ARYAPU","ARYAPU","KARNATAKA","KARNATAKA"
"HAIDERGARH","HAIDERGARH","UTTAR PRADESH","UTTAR PRADESH"
"BAGIDORA","BAGIDORA","RAJASTHAN","RAJASTHAN"
"BHANJANAGAR","BHANJANAGAR","ODISHA","ODISHA"
"DABHOI","DABHOI","GUJARAT","GUJARAT"
"KOTHAKOTA","KOTHAKOTA","ANDHRA PRADESH","ANDHRA PRADESH"
"KOILKUNTLA","KOILKUNTLA","ANDHRA PRADESH","ANDHRA PRADESH"
"CHALISGAON","CHALISGAON","MAHARASHTRA","MAHARASHTRA"
"NANDYAL","NANDYAL","ANDHRA PRADESH","ANDHRA PRADESH"
"BODINAYAKANUR_TAM","BODINAYAKANUR","TAMILNADU","TAMILNADU"
"CHAMPADANGA","CHAMPADANGA","WEST BENGAL","WEST BENGAL"
"HANGAL","HANGAL","KARNATAKA","KARNATAKA"
"KARIKULAM","KARIKULAM","KERALA","KERALA"
"BAURIA","BAURIA","WEST BENGAL","WEST BENGAL"
"DOMBIVALI","DOMBIVALI","MAHARASHTRA","MAHARASHTRA"
"SATNA","SATNA","MADHYA PRADESH","MADHYA PRADESH"
"SINGTAM","SINGTAM","SIKKIM","SIKKIM"
"BHINMAL","BHINMAL","RAJASTHAN","RAJASTHAN"
"CHANNAGIRI","CHANNAGIRI","KARNATAKA","KARNATAKA"
"CHANDIMANDIR","CHANDIMANDIR","HARYANA","HARYANA"
"RAVULAPALEM","RAVULAPALEM","ANDHRA PRADESH","ANDHRA PRADESH"
"UMBERGAON","UMBERGAON","GUJARAT","GUJARAT"
"GADARWARA","GADARWARA","MADHYA PRADESH","MADHYA PRADESH"
"KOPARGAON","KOPARGAON","MAHARASHTRA","MAHARASHTRA"
"KOLLEGAL","KOLLEGAL","KARNATAKA","KARNATAKA"
"LUNGLEI","LUNGLEI","MIZORAM","MIZORAM"
"BISAULI","BISAULI","UTTAR PRADESH","UTTAR PRADESH"
"SATTARI","SATTARI","GOA","GOA"
"SALUMBAR","SALUMBAR","RAJASTHAN","RAJASTHAN"
"KOSI KALAN","KOSI KALAN","UTTAR PRADESH","UTTAR PRADESH"
"GOTEGAON","GOTEGAON","MADHYA PRADESH","MADHYA PRADESH"
"GAJSINGHPUR","GAJSINGHPUR","RAJASTHAN","RAJASTHAN"
"GANESHGUDI","GANESHGUDI","KARNATAKA","KARNATAKA"
"GARKHAL","GARKHAL","HIMACHAL PRADESH","HIMACHAL PRADESH"
"GOA VELHA","GOA VELHA","GOA","GOA"
"GORBI","GORBI","MADHYA PRADESH","MADHYA PRADESH"
"HALLIKHED","HALLIKHED","KARNATAKA","KARNATAKA"
"HARIDASPUR","HARIDASPUR","ODISHA","ODISHA"
"HEMGIR","HEMGIR","ODISHA","ODISHA"
"HOLALU","HOLALU","KARNATAKA","KARNATAKA"
"HULICAL","HULICAL","TAMILNADU","TAMILNADU"
"ILANTHOPE","ILANTHOPE","TAMILNADU","TAMILNADU"
"INDUPUR","INDUPUR","ODISHA","ODISHA"
"JAMSANDE","JAMSANDE","MAHARASHTRA","MAHARASHTRA"
"JANGIGANJ","JANGIGANJ","UTTAR PRADESH","UTTAR PRADESH"
"JARWAL","JARWAL","UTTAR PRADESH","UTTAR PRADESH"
"JAYKAYPURAM","JAYKAYPURAM","RAJASTHAN","RAJASTHAN"
"JOKA","JOKA","ODISHA","ODISHA"
"KADOD","KADOD","GUJARAT","GUJARAT"
"KAKO","KAKO","BIHAR","BIHAR"
"KALAKAD","KALAKAD","TAMILNADU","TAMILNADU"
"KALIMELA","KALIMELA","ODISHA","ODISHA"
"KALLIMEL","KALLIMEL","KERALA","KERALA"
"KAMBAINALLUR","KAMBAINALLUR","TAMILNADU","TAMILNADU"
"KHANNA","KHANNA","PUNJAB","PUNJAB"
"KANBA","KANBA","RAJASTHAN","RAJASTHAN"
"KANCHURU","KANCHURU","ODISHA","ODISHA"
"KANKI","KANKI","WEST BENGAL","WEST BENGAL"
"KARIDHYA","KARIDHYA","WEST BENGAL","WEST BENGAL"
"KATTABETTU","KATTABETTU","TAMILNADU","TAMILNADU"
"KAYALPATNAM","KAYALPATNAM","TAMILNADU","TAMILNADU"
"KHAJUHA","KHAJUHA","UTTAR PRADESH","UTTAR PRADESH"
"KHETIA","KHETIA","MADHYA PRADESH","MADHYA PRADESH"
"KOLLURU","KOLLURU","ANDHRA PRADESH","ANDHRA PRADESH"
"KORADACHERI","KORADACHERI","TAMILNADU","TAMILNADU"
"KOTHARIA","KOTHARIA","RAJASTHAN","RAJASTHAN"
"KUKNOOR","KUKNOOR","KARNATAKA","KARNATAKA"
"KULIANA","KULIANA","ODISHA","ODISHA"
"KURAL","KURAL","ODISHA","ODISHA"
"KURNAD","KURNAD","KARNATAKA","KARNATAKA"
"KUZHITHURA","KUZHITHURA","TAMILNADU","TAMILNADU"
"LALA","LALA","ASSAM","ASSAM"
"LARKIPORA","LARKIPORA","JAMMU AND KASHMIR","JAMMU AND KASHMIR"
"BIDAR","BIDAR","KARNATAKA","KARNATAKA"
"PALANI","PALANI","TAMILNADU","TAMILNADU"
"RAJAPALAYAM","RAJAPALAYAM","TAMILNADU","TAMILNADU"
"BETTIAH","BETTIAH","BIHAR","BIHAR"
"BARAUT","BARAUT","UTTAR PRADESH","UTTAR PRADESH"
"KAPREN","KAPREN","RAJASTHAN","RAJASTHAN"
"MAYURBHANJ","MAYURBHANJ","ODISHA","ODISHA"
"SALASAR","SALASAR","RAJASTHAN","RAJASTHAN"
"JAMKHANDI","JAMKHANDI","KARNATAKA","KARNATAKA"
"KUTCH","KUTCH","GUJARAT","GUJARAT"
